"Temp","mean","lcl","ucl"
27.1,0.0162011624003853,0.0103352856862461,0.0220670391145245
27.2,0.0162315291409377,0.0103567708863553,0.0221062873955202
27.3,0.0162652579934253,0.0103792100084371,0.0221513059784136
27.4,0.0163027107120837,0.010402376248173,0.0222030451759943
27.5,0.016344286527457,0.0104259476320475,0.0222626254228665
27.6,0.0163904258280441,0.0104494840234888,0.0223313676325993
27.7,0.0164416141755205,0.0104724003662333,0.0224108279848077
27.8,0.016498386679751,0.0104939361287756,0.0225028372307264
27.9,0.0165613327612709,0.0105131212105188,0.0226095443120231
28,0.0166311013303633,0.0105287389986372,0.0227334636620894
28.1,0.0167084064132706,0.0105392878343896,0.0228775249921516
28.2,0.0167940332574292,0.010542942840118,0.0230451236747405
28.3,0.0168888449488693,0.0105375208072458,0.0232401690904928
