"Temp","mean","lcl","ucl"
28.1,8.30864211791197,8.1172792912921,8.50000494453184
28.2,8.27252859707135,8.08055349028628,8.46450370385641
28.3,8.23682576840934,8.0442337942837,8.42941774253498
28.4,8.2015269941031,8.00831425994923,8.39473972825697
28.5,8.16662577369373,7.97278903987947,8.36046250750799
28.6,8.13211574064503,7.93765238124702,8.32657910004305
28.7,8.09799065900375,7.90289862446213,8.29308269354537
28.8,8.06424442015741,7.8685222018485,8.25996663846631
28.9,8.0308710396846,7.83451763633038,8.22722444303883
29,7.99786465429864,7.80087954013148,8.1948497684658
29.1,7.96521951887722,7.76760261348213,8.16283642427232
29.2,7.93293000357831,7.73468164333551,8.13117836382111
29.3,7.90099059103781,7.70211150209143,8.0998696799842
29.4,7.86939587364729,7.66988714632762,8.06890460096696
