"","Pool_ID","lat","long","DistRC_m","Depth_cm","SurfArea_cm2","Volume_cm3","Pct_Shaded","Notes","MaxRTemp_Z","Depth_Z","Pct_Shaded_Z","fit","se.fit"
"100","101",37.52653204,-77.45607928,"34.78966705",90.8133305,"5107.611389","463839.2012",0.05,"-",0,2.32953901677943,-0.362056091318566,27.5838957835655,2.72669279249697
"102","103",37.52646891,-77.45605444,"25.53272946",19.53125,"1856.68125","36186.33866",0,"-",0,-0.295887077725524,-0.539498512914512,32.9662529395817,2.67439329430824
"103","104",37.52648671,-77.45602474,"26.63709838",10.90171252,"1037.846496","16064.31996",0.07,"-",0,-0.613725905164076,-0.291079122680188,33.2437839962212,2.67517529556176
"104","105",37.52650414,-77.45596328,"26.39216927",33.33790708,"3730.482989","123990.7026",0,"-",0,0.21263284090555,-0.539498512914512,31.965696418472,2.67337195843644
"105","106",37.52653854,-77.45594309,"30.05270087",5.1,"-","-",0,"-",0,-0.827411691773856,-0.539498512914512,34.0120731704745,2.68203934164915
"106","107",37.52654906,-77.45594674,"31.5755281",5.625,"2902.832","14514.16",0,"-",0,-0.808075153194358,-0.539498512914512,33.9740268736382,2.68164382924533
"107","108",37.52656203,-77.45594956,"33.3837537",30.25,"25319.14098","750570.718",0,"-",0,0.0989005849392187,-0.539498512914512,30.429176908206,1.31197885502666
"108","109",37.52653193,-77.45590113,"27.46944252",19,"1013.164","19250.11",0,"-",0,-0.315453813192872,-0.539498512914512,32.9850036777931,1.30622658492145
"109","110",37.52656387,-77.45590876,"31.95030118",25.375,"12944.93253","328477.6629",0,"-",0,-0.0806529875846874,-0.539498512914512,34.8424668765986,1.31365632817952
"110","111",37.52657308,-77.45590719,"33.08797058",21.375,"4625.995","97145.9",0,"-",0,-0.227978995809431,-0.539498512914512,37.1083383386215,1.34616955496018
"111","112",37.52659146,-77.45588033,"34.38542183",6.4,"-","-",0,"-",0,-0.779530739100814,-0.539498512914512,33.9178632925942,2.6810761222539
"112","113",37.52659883,-77.45588803,"35.66282662",22.66666667,"3321.448745","75121.76207",0,"-",0,-0.180404972197419,-0.539498512914512,32.9042640329555,1.31139823888591
"113","114",37.52631254,-77.45578242,"6.027977387",13.825,"1631.271985","22552.3352",0.32,"-",0,-0.506056836333634,0.596132985299539,31.7970932561555,2.67485478690159
