Pool_ID,Date,MinWTemp_C,MaxWTemp_C,MeanWTemp_C,cvWTemp_C,sdWTemp_C,MaxATemp_C,MeanATemp_C,MaxRTemp_C
228,5/20/2021,22.333,25.416,23.35548485,0.043625574,1.018896435,32.8,22.8,23.9
239,6/8/2021,25.21,29.966,27.0239697,0.062893796,1.699640026,32.8,27.8,29
241,6/24/2021,22.525,24.062,23.15915152,0.025812701,0.597800245,26.1,19.4,26.1
254,7/21/2021,27.961,33.953,30.54081818,0.066628017,2.034874158,33.9,27.8,29.9
256,5/20/2021,23.388,26.488,24.62072727,0.044290884,1.090473787,32.8,22.8,23.9
257,7/21/2021,28.06,30.76,29.07663636,0.028648937,0.833014736,33.9,27.8,29.9
261,6/8/2021,26.585,33.848,29.21193939,0.092898981,2.713759396,32.8,27.8,29
261,6/24/2021,21.569,32.497,27.3189697,0.140637398,3.842068823,26.1,19.4,26.1
262,6/24/2021,24.738,33.326,28.29984848,0.106105071,3.002757442,26.1,19.4,26.1
265,6/24/2021,24.738,31.88,27.48254545,0.091170313,2.505592284,26.1,19.4,26.1
265,7/21/2021,28.456,35.009,30.79745455,0.07327431,2.256662221,33.9,27.8,29.9
269,6/8/2021,27.468,34.163,29.83160606,0.086152303,2.570061562,32.8,27.8,29
272,6/24/2021,23.196,30.255,26.17563636,0.101435102,2.655128349,26.1,19.4,26.1
276,5/20/2021,20.519,35.971,27.90554545,0.198523481,5.539906018,32.8,22.8,23.9
276,6/8/2021,26.51,36.68,30.08757576,0.121716643,3.662158713,32.8,27.8,29
280,6/24/2021,23.581,29.552,26.75490909,0.08092826,2.165228226,26.1,19.4,26.1
281,5/20/2021,23.1,24.062,23.51951515,0.013285334,0.31246461,32.8,22.8,23.9
281,6/8/2021,28.456,30.154,29.05115152,0.021164473,0.614852326,32.8,27.8,29
284,6/8/2021,27.075,29.752,27.87493939,0.034925776,0.973553894,32.8,27.8,29
288,5/20/2021,21.187,29.152,24.38984848,0.117428367,2.864060078,32.8,22.8,23.9
291,6/8/2021,26.47,34.49,29.13030303,0.097575723,2.842410382,32.8,27.8,29
292,6/8/2021,28.31,32.52,29.72636364,0.05304143,1.576728849,32.8,27.8,29
307,5/20/2021,20.996,31.778,25.08939394,0.15985164,4.010580755,32.8,22.8,23.9
307,7/21/2021,26.39,34.479,29.33339394,0.101090902,2.96533924,33.9,27.8,29.9
311,6/8/2021,28.258,29.853,28.76393939,0.016954652,0.48768259,32.8,27.8,29
314,6/24/2021,22.238,30.558,25.87063636,0.115727781,2.993951338,26.1,19.4,26.1
316,5/20/2021,22.333,24.641,23.18863636,0.033890868,0.785883015,32.8,22.8,23.9
318,5/20/2021,20.138,36.079,24.77778788,0.233407949,5.783332656,32.8,22.8,23.9
321,7/21/2021,27.173,30.457,28.91733333,0.043932415,1.270408292,33.9,27.8,29.9
323,6/24/2021,21.378,34.268,27.31090909,0.168253982,4.595169219,26.1,19.4,26.1
325,5/20/2021,22.525,27.173,24.29624242,0.065525384,1.592020611,32.8,22.8,23.9
329,6/24/2021,23.1,34.903,28.78030303,0.142641732,4.105272269,26.1,19.4,26.1
331,5/20/2021,22.812,26.683,24.44148485,0.05994423,1.465125978,32.8,22.8,23.9
331,6/8/2021,28.196,29.165,28.51324242,0.011784051,0.336001491,32.8,27.8,29
335,6/8/2021,27.468,33.118,29.27193939,0.072302221,2.116426217,32.8,27.8,29
337,6/8/2021,27.11,33.67,29.20151515,0.08445037,2.466078772,32.8,27.8,29
337,6/24/2021,22.812,29.452,25.30460606,0.089696034,2.269722807,26.1,19.4,26.1
338,5/20/2021,21.473,33.743,28.141,0.162411445,4.570420461,32.8,22.8,23.9
338,7/21/2021,27.37,31.88,29.66678788,0.054725748,1.623537145,33.9,27.8,29.9
344,5/20/2021,22.238,28.357,24.5950303,0.088793244,2.183872528,32.8,22.8,23.9
346,6/8/2021,27.272,35.971,30.16175758,0.100453228,3.029845912,32.8,27.8,29
346,7/21/2021,26.488,37.604,31.048,0.130564132,4.053755157,33.9,27.8,29.9
350,5/20/2021,21.091,32.394,26.37881818,0.163873039,4.322777113,32.8,22.8,23.9
350,6/8/2021,27.468,34.479,29.97527273,0.086115421,2.581333234,32.8,27.8,29
350,6/24/2021,22.525,30.659,26.69442424,0.106099618,2.832268206,26.1,19.4,26.1
351,6/24/2021,20.424,35.864,27.82678788,0.200519181,5.579804728,26.1,19.4,26.1
353,5/20/2021,20.71,27.272,23.64545455,0.101645307,2.403449475,32.8,22.8,23.9
353,7/21/2021,27.567,30.457,28.68269697,0.034212485,0.981306351,33.9,27.8,29.9
354,6/24/2021,24.158,31.88,27.33872727,0.102444616,2.800705428,26.1,19.4,26.1
354,7/21/2021,28.655,35.009,30.99012121,0.071002493,2.200375874,33.9,27.8,29.9
359,6/24/2021,22.525,34.691,28.49224242,0.147309806,4.197186707,26.1,19.4,26.1
359,7/21/2021,26.781,38.157,32.12669697,0.131581123,4.227266858,33.9,27.8,29.9
361,6/8/2021,28.83,33.72,30.25666667,0.057849273,1.75032616,32.8,27.8,29
362,6/24/2021,22.333,31.472,25.98360606,0.126870056,3.296541568,26.1,19.4,26.1
362,7/21/2021,26.879,34.691,29.85654545,0.091504237,2.732000413,33.9,27.8,29.9
366,5/20/2021,21.187,26.097,23.04881818,0.079574146,1.834090024,32.8,22.8,23.9
366,6/8/2021,27.961,30.154,28.68433333,0.02818896,0.808581538,32.8,27.8,29
366,7/21/2021,28.655,31.064,29.57666667,0.029435556,0.870605632,33.9,27.8,29.9
373,6/24/2021,24.931,30.054,27.08636364,0.066599084,1.803927015,26.1,19.4,26.1
375,6/24/2021,23.484,28.853,25.07363636,0.074921736,1.878560367,26.1,19.4,26.1
379,6/24/2021,21.32,37.58,29.8030303,0.189167368,5.637760795,26.1,19.4,26.1
379,7/21/2021,25.95,40.84,33.05030303,0.169060452,5.587499153,33.9,27.8,29.9
380,5/20/2021,15.91,35.39,27.10606061,0.230531206,6.248792853,32.8,22.8,23.9
382,6/24/2021,21.45,35.73,28.75030303,0.167120608,4.80476813,26.1,19.4,26.1
392,5/20/2021,21.1,32,25.6990625,0.151667244,3.897705991,32.8,22.8,23.9
418,6/8/2021,26.879,32.497,28.75663636,0.071241523,2.048666561,32.8,27.8,29
425,6/8/2021,26.08,33.25,28.54727273,0.093065343,2.656761742,32.8,27.8,29
