Date,Time,PoolID,WaterTemp,Lux
7/21/2021,8:30:00,728,27.665,484.4
7/21/2021,8:45:00,728,27.764,549
7/21/2021,9:00:00,728,27.764,570.5
7/21/2021,9:15:00,728,27.862,688.9
7/21/2021,9:30:00,728,27.961,635.1
7/21/2021,9:45:00,728,27.961,678.1
7/21/2021,10:00:00,728,28.159,742.7
7/21/2021,10:15:00,728,28.258,968.8
7/21/2021,10:30:00,728,28.754,2238.9
7/21/2021,10:45:00,728,29.352,2411.1
7/21/2021,11:00:00,728,29.853,2669.5
7/21/2021,11:15:00,728,30.356,2927.8
7/21/2021,11:30:00,728,30.862,3100
7/21/2021,11:45:00,728,31.37,3444.5
7/21/2021,12:00:00,728,31.88,3616.7
7/21/2021,12:15:00,728,32.394,3961.1
7/21/2021,12:30:00,728,32.911,4305.6
7/21/2021,12:45:00,728,33.43,4477.8
7/21/2021,13:00:00,728,33.848,4822.3
7/21/2021,13:15:00,728,34.268,5338.9
7/21/2021,13:30:00,728,34.479,5166.7
7/21/2021,13:45:00,728,34.796,5166.7
7/21/2021,14:00:00,728,34.796,1334.7
7/21/2021,14:15:00,728,34.903,3100
7/21/2021,14:30:00,728,34.903,5511.1
7/21/2021,6:30:00,604,26.879,312.2
7/21/2021,6:45:00,604,26.879,527.4
7/21/2021,7:00:00,604,26.879,807.3
7/21/2021,7:15:00,604,26.977,1044.1
7/21/2021,7:30:00,604,26.977,1141
7/21/2021,7:45:00,604,27.075,1550
7/21/2021,8:00:00,604,27.173,1722.2
7/21/2021,8:15:00,604,27.272,2669.5
7/21/2021,8:30:00,604,27.37,2325
7/21/2021,8:45:00,604,27.764,12400.1
7/21/2021,9:00:00,604,28.357,13777.9
7/21/2021,9:15:00,604,28.853,15155.7
7/21/2021,9:30:00,604,29.053,3272.2
7/21/2021,9:45:00,604,29.652,16533.4
7/21/2021,10:00:00,604,29.853,14466.8
7/21/2021,10:15:00,604,29.853,4477.8
7/21/2021,10:30:00,604,30.255,2927.8
7/21/2021,10:45:00,604,30.356,4133.4
7/21/2021,11:00:00,604,31.064,13777.9
7/21/2021,11:15:00,604,31.88,13777.9
7/21/2021,11:30:00,604,32.807,13089
7/21/2021,11:45:00,604,33.639,12400.1
7/21/2021,12:00:00,604,34.479,12400.1
7/21/2021,12:15:00,604,35.115,11711.2
7/21/2021,12:30:00,604,35.864,11022.3
7/21/2021,12:45:00,604,36.511,10677.8
7/21/2021,13:00:00,604,37.165,10677.8
7/21/2021,13:15:00,604,37.604,3961.1
7/21/2021,13:30:00,604,38.046,9300.1
7/21/2021,13:45:00,604,38.157,5511.1
7/21/2021,14:00:00,604,37.714,2238.9
7/21/2021,14:15:00,604,37.165,2755.6
7/21/2021,14:30:00,604,37.165,6200
7/21/2021,6:30:00,321,27.272,53.8
7/21/2021,6:45:00,321,27.173,107.6
7/21/2021,7:00:00,321,27.173,172.2
7/21/2021,7:15:00,321,27.173,236.8
7/21/2021,7:30:00,321,27.173,333.7
7/21/2021,7:45:00,321,27.272,452.1
7/21/2021,8:00:00,321,27.37,592
7/21/2021,8:15:00,321,27.468,807.3
7/21/2021,8:30:00,321,27.567,1001
7/21/2021,8:45:00,321,27.764,1280.9
7/21/2021,9:00:00,321,27.961,1463.9
7/21/2021,9:15:00,321,28.06,1722.2
7/21/2021,9:30:00,321,28.258,2066.7
7/21/2021,9:45:00,321,28.456,2411.1
7/21/2021,10:00:00,321,28.655,2669.5
7/21/2021,10:15:00,321,28.853,2927.8
7/21/2021,10:30:00,321,29.053,3272.2
7/21/2021,10:45:00,321,29.252,3616.7
7/21/2021,11:00:00,321,29.452,3616.7
7/21/2021,11:15:00,321,29.752,3961.1
7/21/2021,11:30:00,321,29.953,3961.1
7/21/2021,11:45:00,321,30.054,3961.1
7/21/2021,12:00:00,321,30.255,3444.5
7/21/2021,12:15:00,321,30.255,1894.5
7/21/2021,12:30:00,321,30.255,1270.1
7/21/2021,12:45:00,321,30.154,958
7/21/2021,13:00:00,321,30.255,861.1
7/21/2021,13:15:00,321,30.255,785.8
7/21/2021,13:30:00,321,30.255,764.2
