rep,b,h0,Eh,temp,num_survive
13,0.090748691,7.84E-07,0.235822616,36,NA
14,0.100843978,8.49E-07,0.185575439,20,120.95953
14,0.100843978,8.49E-07,0.185575439,21,128.859847
14,0.100843978,8.49E-07,0.185575439,22,135.9304932
14,0.100843978,8.49E-07,0.185575439,23,142.2467427
14,0.100843978,8.49E-07,0.185575439,24,148.02203
14,0.100843978,8.49E-07,0.185575439,25,153.2103267
14,0.100843978,8.49E-07,0.185575439,26,157.5767391
14,0.100843978,8.49E-07,0.185575439,27,161.8653708
14,0.100843978,8.49E-07,0.185575439,28,165.619979
14,0.100843978,8.49E-07,0.185575439,29,169.0178894
14,0.100843978,8.49E-07,0.185575439,30,172.046319
14,0.100843978,8.49E-07,0.185575439,31,174.9992954
14,0.100843978,8.49E-07,0.185575439,32,176.4241202
14,0.100843978,8.49E-07,0.185575439,33,177.8310294
14,0.100843978,8.49E-07,0.185575439,34,173.5419876
14,0.100843978,8.49E-07,0.185575439,35,155.0365968
14,0.100843978,8.49E-07,0.185575439,36,102.6381329
15,0.103389526,2.09E-07,0.213416819,20,94.46211453
15,0.103389526,2.09E-07,0.213416819,21,102.0039709
15,0.103389526,2.09E-07,0.213416819,22,108.7717454
15,0.103389526,2.09E-07,0.213416819,23,114.7172594
15,0.103389526,2.09E-07,0.213416819,24,120.1817525
15,0.103389526,2.09E-07,0.213416819,25,125.2973735
15,0.103389526,2.09E-07,0.213416819,26,129.3021012
15,0.103389526,2.09E-07,0.213416819,27,133.7470703
15,0.103389526,2.09E-07,0.213416819,28,136.8243863
15,0.103389526,2.09E-07,0.213416819,29,140.7153438
15,0.103389526,2.09E-07,0.213416819,30,143.1482026
15,0.103389526,2.09E-07,0.213416819,31,146.140577
15,0.103389526,2.09E-07,0.213416819,32,148.3391248
15,0.103389526,2.09E-07,0.213416819,33,148.1583721
15,0.103389526,2.09E-07,0.213416819,34,145.5095598
15,0.103389526,2.09E-07,0.213416819,35,129.1901104
15,0.103389526,2.09E-07,0.213416819,36,84.0369264
16,0.087150194,2.16E-07,0.187511953,20,16.17753891
16,0.087150194,2.16E-07,0.187511953,21,19.11603041
16,0.087150194,2.16E-07,0.187511953,22,22.1192236
16,0.087150194,2.16E-07,0.187511953,23,25.16144707
16,0.087150194,2.16E-07,0.187511953,24,27.79612161
16,0.087150194,2.16E-07,0.187511953,25,30.55320399
16,0.087150194,2.16E-07,0.187511953,26,33.41780561
16,0.087150194,2.16E-07,0.187511953,27,35.70107812
16,0.087150194,2.16E-07,0.187511953,28,37.41628889
16,0.087150194,2.16E-07,0.187511953,29,39.83737701
16,0.087150194,2.16E-07,0.187511953,30,42.30227892
16,0.087150194,2.16E-07,0.187511953,31,44.11910744
16,0.087150194,2.16E-07,0.187511953,32,45.15106661
16,0.087150194,2.16E-07,0.187511953,33,45.02969838
16,0.087150194,2.16E-07,0.187511953,34,44.7111846
16,0.087150194,2.16E-07,0.187511953,35,39.49288092
16,0.087150194,2.16E-07,0.187511953,36,20.11402719
17,0.108860249,8.44E-07,0.163977353,20,43.96388336
17,0.108860249,8.44E-07,0.163977353,21,50.30115661
17,0.108860249,8.44E-07,0.163977353,22,56.00966578
17,0.108860249,8.44E-07,0.163977353,23,61.9113258
17,0.108860249,8.44E-07,0.163977353,24,66.82638071
17,0.108860249,8.44E-07,0.163977353,25,72.13346338
17,0.108860249,8.44E-07,0.163977353,26,76.54125908
17,0.108860249,8.44E-07,0.163977353,27,80.62393074
17,0.108860249,8.44E-07,0.163977353,28,85.08038715
17,0.108860249,8.44E-07,0.163977353,29,88.394389
