ObjectID,GlobalID,Pool ID,Date,Time,Observer,How is the pool shaded?,How many dots have open canopy?,Percent Open Canopy,Percent Closed Canopy,CreationDate,Creator,EditDate,Editor,x,y
279,d3aa0969-6d13-4fca-94ce-21f0dc12d87c,538,8/19/2021 4:00:00 PM,09:41,Atd,FULL_SUN,92,95.68,4.31999999999999,8/19/2021 1:41:38 PM,davidsonat_vcu_ces,8/19/2021 1:41:38 PM,davidsonat_vcu_ces,-77.45612375,37.52651845
280,f01af373-c133-442e-9547-b2a51318a89f,99,8/19/2021 4:00:00 PM,09:42,Atd,FULL_SUN,91,94.64,5.36,8/19/2021 1:42:51 PM,davidsonat_vcu_ces,8/19/2021 1:42:51 PM,davidsonat_vcu_ces,-77.45613583,37.5264526
281,4ca0b8c4-40de-4b12-b8c3-2557114d19fc,105,8/19/2021 4:00:00 PM,09:43,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:43:57 PM,davidsonat_vcu_ces,8/19/2021 1:43:57 PM,davidsonat_vcu_ces,-77.45596328,37.52650414
282,85ba3beb-5eab-4045-a276-3c6afe880be3,430,8/19/2021 4:00:00 PM,09:44,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:44:32 PM,davidsonat_vcu_ces,8/19/2021 1:44:32 PM,davidsonat_vcu_ces,-77.45597815,37.52647756
283,ae4f6552-ac85-4edf-a5de-cbee30063e40,104,8/19/2021 4:00:00 PM,09:44,Atd,FULL_SUN,89,92.56,7.44,8/19/2021 1:45:09 PM,davidsonat_vcu_ces,8/19/2021 1:45:09 PM,davidsonat_vcu_ces,-77.45602474,37.52648671
284,38d2dd13-0b58-4d76-940d-0277a224789c,103,8/19/2021 4:00:00 PM,09:45,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:46:02 PM,davidsonat_vcu_ces,8/19/2021 1:46:02 PM,davidsonat_vcu_ces,-77.45605444,37.52646891
285,e06c5aa9-fd42-47e0-b832-4fcfdbed36df,98,8/19/2021 4:00:00 PM,09:46,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:46:51 PM,davidsonat_vcu_ces,8/19/2021 1:46:51 PM,davidsonat_vcu_ces,-77.45608373,37.52645455
286,70d2d065-e2f8-4cfd-b6eb-496f2478cfe2,97,8/19/2021 4:00:00 PM,09:47,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:47:11 PM,davidsonat_vcu_ces,8/19/2021 1:47:11 PM,davidsonat_vcu_ces,-77.45607314,37.5264447
287,0d8435b2-4c38-42dc-9512-5fd6527dba5e,96,8/19/2021 4:00:00 PM,09:47,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:47:50 PM,davidsonat_vcu_ces,8/19/2021 1:47:50 PM,davidsonat_vcu_ces,-77.45606241,37.52642333
288,78b694cd-60c5-4330-bf36-5389dca04728,428,8/19/2021 4:00:00 PM,09:48,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:48:19 PM,davidsonat_vcu_ces,8/19/2021 1:48:19 PM,davidsonat_vcu_ces,-77.45610768,37.52643345
