ObjectID,GlobalID,Pool ID,Date,Time,Observer,Is the pool dried up?,Is the pool underwater?,What type of pool is it?,Length,Width,Depth 1,Depth 2,Depth 3,Depth 4,Lip Height 1,Lip Height 2,Lip Height 3,Lip Height 4,CreationDate,Creator,EditDate,Editor,Date,Time,Average pool depth,Average lip height,x,y
44,4708c734-6427-4e33-9d59-bfd9bbecf1df,677,,,CRS ,no,no,CLASSIC,42,35,13.5,12.5,15,2,3,10,2,3,8/19/2021 1:50:12 PM,crstunkle_vcu_ces,8/19/2021 1:50:12 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:48,10.75,4.5,-77.45486875,37.52648134
45,49d5ec79-0c03-4ec2-a7ab-17fc4876e9ff,672,,,Pl,no,no,CLASSIC,22,18,15,1,4,4,2,2,5,10,8/19/2021 1:51:10 PM,lamountaif_vcu_ces,8/19/2021 1:51:10 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,09:49,6,4.75,-77.45498973,37.52633329
46,5b01ccc5-7913-4b74-aa81-463c7b2cc899,670,,,CRS ,no,no,CLASSIC,107,42,6.5,6,4,5.5,14,2,6,6,8/19/2021 1:53:39 PM,crstunkle_vcu_ces,8/19/2021 1:53:39 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:50,5.5,7,-77.45481076,37.52640304
47,e2433fc4-fb88-49c8-90fa-9a3e752d1176,371,,,CRS ,no,no,CLASSIC,90,50,22,22.75,23,15.75,3,8,3,4,8/19/2021 1:56:17 PM,crstunkle_vcu_ces,8/19/2021 1:56:17 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:53,20.875,4.5,-77.45481995,37.52639427
48,3312cdb2-04d6-4192-88fa-07a39445b93d,674,,,Pl,no,no,"CLASSIC,RIVER",116,86,36,19,15.5,21,0,27,41,3,8/19/2021 1:57:19 PM,lamountaif_vcu_ces,8/19/2021 1:57:19 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,09:51,22.875,17.75,-77.45497452,37.52634724
49,b6eca1c5-a3fb-4a6b-958c-76484b371aad,696,,,CRS ,no,no,CLASSIC,24.5,18,8,9,9,9,3,4,80,94,8/19/2021 1:59:22 PM,crstunkle_vcu_ces,8/19/2021 1:59:22 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:57,8.75,45.25,-77.45473299,37.52641593
50,8eafd5e9-5bf5-44b1-9d19-6871ec297fba,206,,,Pl,no,no,CLASSIC,82,90,1,7,9,7,36,24,16,30,8/19/2021 2:00:41 PM,lamountaif_vcu_ces,8/19/2021 2:00:41 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,09:57,6,26.5,-77.4550306,37.52630166
51,04ccfb51-7cc2-44dc-bc9d-2312cb1c1e62,615,,,MT,no,no,FISSURE,37,34,6.5,6,5,3,20,11,25,14,8/19/2021 2:03:07 PM,thackerm2_vcu_ces,8/19/2021 2:03:07 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:58,5.125,17.5,-77.45524914,37.52627684
52,5bd2d580-274d-4c80-8d62-febac87ba8f6,697,,,CRS ,no,no,CLASSIC,52,43,8.5,9,8,8.5,25,0,15,19,8/19/2021 2:03:52 PM,crstunkle_vcu_ces,8/19/2021 2:03:52 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:01,8.5,14.75,-77.45468973,37.52649057
53,dfd44095-ac94-425c-9546-505c335a7760,205,,,Pl,no,no,CLASSIC,30,19,14.5,14.5,6,7,8,7,2,2,8/19/2021 2:05:04 PM,lamountaif_vcu_ces,8/19/2021 2:05:04 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,10:03,10.5,4.75,-77.45501983,37.52629129
54,7825c711-724c-4f9e-a81c-d2b17943aa70,694,,,CRS ,no,no,CLASSIC,115,64,10,11,5,10.5,17,4,5,28,8/19/2021 2:06:42 PM,crstunkle_vcu_ces,8/19/2021 2:06:42 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:04,9.125,13.5,-77.45470162,37.52648266
55,3e4a8030-4b17-49db-948a-65f9a684afd9,618,,,MT,no,no,CLASSIC,44,40,16,7,10,6,15,8.5,9,2,8/19/2021 2:09:00 PM,thackerm2_vcu_ces,8/19/2021 2:09:00 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,10:05,9.75,8.625,-77.45530024,37.5263085
56,25ad0b22-0588-40a3-b22c-99f7ebb86856,374,,,CRS ,no,no,CLASSIC,108,43,29.5,34,35.75,29.75,4,16,45,7,8/19/2021 2:10:16 PM,crstunkle_vcu_ces,8/19/2021 2:10:16 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:07,32.25,18,-77.45473988,37.52647085
57,d55c5892-d475-4ece-ab2d-f8ad93faab5e,209,,,Pl,no,no,CLASSIC,129,50,6,9.5,36,36,97,1,27,90,8/19/2021 2:11:25 PM,lamountaif_vcu_ces,8/19/2021 2:11:25 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,10:06,21.875,53.75,-77.45502615,37.52632951
58,7452f5f1-4747-41d3-8b56-41fcbc0d7df6,617,,,MT,no,yes,CLASSIC,65,46,5,10,14,9,47,47,40,0,8/19/2021 2:13:57 PM,thackerm2_vcu_ces,8/19/2021 2:13:57 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,10:09,9.5,33.5,-77.45527576,37.5263249
59,fa77bade-c38b-47ca-9705-41685199a828,678,,,CRS ,no,no,CLASSIC,35,35,13.25,6,7,12.5,16,17,2,3,8/19/2021 2:14:05 PM,crstunkle_vcu_ces,8/19/2021 2:14:05 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:12,9.6875,9.5,-77.45477487,37.52647097
60,ee284d39-e326-4df9-a82a-8e233f665869,679,,,CRS ,no,no,CLASSIC,96,43,33.5,28,28,33.5,9,23,18,0,8/19/2021 2:16:47 PM,crstunkle_vcu_ces,8/19/2021 2:16:47 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:14,30.75,12.5,-77.45478889,37.52645721
