Pool_ID,DistRC_m,Depth_cm,Pct_Shaded,MaxRTemp_Z,Depth_Z,Pct_Shaded_Z,SurfArea_Z,MaxTemp_Predicted_C,MaxTemp_SE,MaxTemp_Z
181,67.46464893,17.375,0,0,-0.375305004,-0.539498513,-0.558098108,31.91571825,1.314624481,0.061225278
182,50.62073737,26.09611077,0.08,0,-0.054093395,-0.255590638,-0.539014876,32.09727872,2.671760512,0.133295801
183,48.47207424,9.875,0,0,-0.651541269,-0.539498513,-0.563290686,33.65633114,2.679337528,0.752162459
184,41.70817794,30.375,0,0,0.103504523,-0.539498513,-0.388293972,32.18339998,2.674088502,0.167481677
185,40.21912133,15.625,0.06,0,-0.439760133,-0.326567607,-0.468215844,32.94802137,2.674388519,0.470998529
186,73.36286019,32,0,0,0.163355714,-0.539498513,0.075681959,32.06664324,2.674181234,0.121135029
187,70.4219109,25.5,0,0,-0.07604905,-0.539498513,1.462246024,32.53367019,2.674259105,0.306521619
188,70.65619739,6.75,0,0,-0.766639713,-0.539498513,-0.453062872,33.88086333,2.681179883,0.841290626
189,72.19086754,16.25,0.04,0,-0.416740444,-0.397544576,0.027641699,28.47323055,0.999628548,-1.305271984
190,65.79475872,21,0.01,0,-0.241790809,-0.504010029,-0.392450982,32.80780146,2.674593424,0.415338164
191,65.8484614,335.3481615,0,0,11.33612415,-0.539498513,-0.22315191,10.27098663,3.775128121,-8.530662053
192,66.10132137,46.125,0.02,0,0.68360068,-0.468521544,-0.511261008,32.11621219,1.30585218,0.14081145
193,63.27981338,144.1863052,0,0,4.295345844,-0.539498513,-0.205350076,24.00602348,2.855284978,-3.078532123
194,60.70656343,25.25,0,0,-0.085256925,-0.539498513,0.246052281,32.55163277,2.674285999,0.313651872
195,61.92526451,63.5,0,0,1.323548028,-0.539498513,0.512302219,29.80335877,2.690705923,-0.777276903
196,58.14084192,27.71875,0,0,0.005670845,-0.539498513,-0.126888437,32.37425234,2.674097989,0.24324062
197,60.2260604,83.25,0,0,2.050970194,-0.539498513,1.689138319,32.38266222,1.346147275,0.246578924
198,63.67390591,74.0625,0,0,1.712580769,-0.539498513,-0.010944729,29.04443997,2.702458034,-1.078530111
199,58.66732103,12.75,0,0,-0.545650701,-0.539498513,-0.50864616,31.47063213,1.313378875,-0.115451885
200,52.71501305,4.75,0.13,0,-0.840302717,-0.078148217,-0.515418045,33.38502774,2.678115568,0.644468435
201,49.18915512,83,0,0,2.041762318,-0.539498513,1.393454211,28.40227791,2.714794868,-1.333436671
202,53.32153718,36.125,0.02,0,0.31528566,-0.468521544,0.771109564,31.67187057,2.674077704,-0.035570186
203,50.49590806,64.25,0,0,1.351171655,-0.539498513,1.708448085,29.74947104,2.691438525,-0.798667664
204,45.19172605,21.625,0,0,-0.21877112,-0.539498513,0.142909318,32.81209011,2.674874838,0.417040547
205,38.63229794,10.5,0,0,-0.628521581,-0.539498513,-0.599496906,33.6114247,2.679002039,0.734336825
206,36.85128509,183.1324943,0.06,0,5.729792488,-0.326567607,-0.275653131,20.91255753,2.993137406,-4.306485018
207,34.22947621,78.24536863,0,0,1.866642103,-0.539498513,-0.350185252,28.7438996,2.707960686,-1.197829765
208,34.88089274,21.375,0.01,0,-0.227978996,-0.504010029,-0.0567836,33.12242166,1.303106978,0.540226817
209,33.35577684,21.875,0.05,0,-0.209563245,-0.362056091,-0.205251429,29.40903008,1.332280143,-0.933805879
210,30.2136537,81.10416667,0,0,1.971935929,-0.539498513,1.148224084,28.5384941,2.711996222,-1.279365583
