Pool_ID,lat,long,DistRC_m,Depth_cm,SurfArea_cm2,Volume_cm3,Pct_Shaded,Notes
146,37.52611235,-77.45566974,36.7717891,23.04166667,9255.000594,215182.0246,97,-
147,37.52594847,-77.45560039,61.0004304,-,-,-,0,-
148,37.52589345,-77.45561188,67.70868615,-,-,-,0,-
149,37.52588782,-77.45564699,67.00409478,-,-,-,15,-
150,37.52576304,-77.45574651,78.93603788,-,-,-,4,-
151,37.52583854,-77.45529367,87.67418026,21.38984375,1534.128037,33677.41855,8,-
152,37.52584581,-77.45530736,86.18896407,35.65263158,5806.266731,211637.3379,0,-
153,37.52583825,-77.45532202,86.61835999,24.09264706,2514.706241,60255.32626,13,-
154,37.52586873,-77.45535693,81.25767294,18.875,10229.0244,187252.0223,0,-
155,37.52586518,-77.45528938,84.33239098,28.65,8528.167326,251287.5336,22,-
156,37.52586015,-77.45526561,85.91220164,11.04166667,80162.96988,1111180.665,43,-
157,37.52587128,-77.45524634,85.19033686,19.63333333,34847.33166,705471.9955,67,-
158,37.52587806,-77.45522641,85.06684939,4.5,8466.592201,38099.66491,56,-
159,37.52583587,-77.45525887,89.36877672,12.625,2256.972667,27749.68667,100,-
160,37.52589629,-77.45521362,83.15948402,7.625,3917.566,30206.41,16,-
161,37.5258957,-77.45520177,83.69511126,17.73099276,2096.480242,35922.00233,74,-
162,37.52590577,-77.45515638,84.11964853,17.58333333,4217.064667,73121.61667,47,-
163,37.52595872,-77.4550682,80.55185556,15.29166667,1602.212246,34763.29344,17,-
164,37.52597169,-77.45507087,78.74145882,34.83333333,1058.323934,36800.84681,0,-
165,37.52597766,-77.45506136,78.32169174,40.70625,6100.043559,252838.9836,0,-
166,37.5259903,-77.45504276,77.37574416,16.125,18741.95595,327801.4301,2,-
167,37.52598136,-77.45508013,77.11086356,38.08333333,22450.08402,844554.3807,0,-
168,37.52600042,-77.45506867,75.04323369,35.6875,31314.74178,1130587.09,0,-
169,37.52602762,-77.45506508,71.60060593,24.14583333,17743.97719,415206.3048,0,-
170,37.52596949,-77.45501747,81.09123995,27.42045455,8146.220805,217820.802,0,-
171,37.52594526,-77.45501058,84.54670575,16.75,865.5088,13848.14,17,-
172,37.52584743,-77.45506474,95.3378187,-,-,-,94,-
173,37.52600264,-77.45500595,77.17117072,18.5,3160.442201,62769.80729,3,-
175,37.52605903,-77.45505362,67.90706648,55.59999827,2188.97631,121707.079,6,-
176,37.52611069,-77.45502481,62.21783303,41.475,12439.76469,366754.2508,0,-
177,37.52613285,-77.45499047,60.62487068,65.4375,11388.27337,810457.7646,0,-
178,37.52615042,-77.45498524,58.51320008,34.5625,3707.079343,180790.0222,0,-
179,37.52619888,-77.45495539,53.28506639,6,15239.86596,899152.0918,0,-
180,37.52596497,-77.45539042,67.29508421,25.85971743,1878.20731,46928.14101,0,-
181,37.52596644,-77.455381,67.46464893,17.375,932.61719,16204.224,0,-
182,37.52607579,-77.45544442,50.62073737,26.09611077,1156.155734,30633.97801,8,-
183,37.52607978,-77.45548649,48.47207424,9.875,871.792,7846.128,0,-
184,37.52612036,-77.45552329,41.70817794,30.375,2921.681168,88746.06547,0,-
185,37.52612479,-77.45554608,40.21912133,15.625,1985.486557,31023.22745,6,-
186,37.52592822,-77.45535857,73.36286019,32,8356.636,267412.4,0,-
187,37.52597343,-77.45528051,70.4219109,25.5,24598.67048,627266.0972,0,-
188,37.52599721,-77.4551933,70.65619739,6.75,2162.986542,14600.15916,0,-
189,37.52599894,-77.45514765,72.19086754,16.25,7793.89853,130200.5684,4,-
190,37.52603904,-77.45517656,65.79475872,21,2872.986482,60332.71612,1,-
191,37.52603321,-77.45519508,65.8484614,335.3481615,4856.134202,2542760.332,0,-
192,37.52601805,-77.45524024,66.10132137,46.125,1481.261,68138,2,-
193,37.52603866,-77.45524306,63.27981338,144.1863052,5064.66262,1472530.316,0,-
194,37.52606433,-77.45522214,60.70656343,25.25,10352.33221,258665.4009,0,-
195,37.5260622,-77.45519785,61.92526451,63.5,13471.15,848682.4,0,-
196,37.52608963,-77.45520231,58.14084192,27.71875,5983.752242,205966.2385,0,-
197,37.52608034,-77.45517997,60.2260604,83.25,27256.45786,2269100.117,0,-
198,37.52605745,-77.45516873,63.67390591,74.0625,7341.902031,543759.6192,0,-
199,37.52609676,-77.45516434,58.66732103,12.75,1511.891,18142.7,0,-
200,37.5261223,-77.45523144,52.71501305,4.75,1432.566,5730.265,13,-
201,37.52616821,-77.45516618,49.18915512,83,23792.85196,1974806.713,0,-
202,37.52616021,-77.45508639,53.32153718,36.125,16502.78621,596163.1518,2,-
203,37.52618172,-77.45508622,50.49590806,64.25,27482.65,1758890,0,-
204,37.52622346,-77.45508127,45.19172605,21.625,9144.128703,192009.9427,0,-
205,37.52629129,-77.45501983,38.63229794,10.5,447.6769531,4700.608008,0,-
206,37.52630166,-77.4550306,36.85128509,183.1324943,4241.1416,776690.8399,6,-
207,37.52631996,-77.4550361,34.22947621,78.24536863,3368.081849,409103.737,0,-
208,37.52631868,-77.45502358,34.88089274,21.375,6804.951351,145038.4944,1,-
209,37.52632951,-77.45502615,33.35577684,21.875,5065.818154,110814.7721,5,-
210,37.52635808,-77.45501011,30.2136537,81.10416667,20920.25756,1665085.637,0,-
211,37.52635579,-77.45503688,29.48192071,63.625,14916.6755,1000944.822,0,-
212,37.52637738,-77.45501726,27.39588351,21.375,1846.078383,41732.62229,0,-
213,37.52637494,-77.45500425,28.21929358,86.4375,12577.56306,1053455.525,0,-
214,37.52638944,-77.45504145,24.87506653,40.79166667,1694.758404,79860.08086,0,-
215,37.52639383,-77.45506021,23.57300205,55.31166571,2342.916706,127563.6098,0,-
216,37.52640888,-77.45509082,20.41076822,53.59027778,9623.135417,482191.267,0,-
217,37.52640726,-77.45500941,23.76558333,75.35,14922.01636,1123349.903,0,-
218,37.52643335,-77.45507249,17.89566583,41.325,18702.29297,783302.2489,0,-
219,37.52644561,-77.45507196,16.30190905,50.69444444,4064.435496,206633.3481,0,-
220,37.52644834,-77.45511487,14.28756471,75.40104167,6895.697791,518131.0534,0,-
221,37.52646688,-77.45512169,11.58266994,62.75986111,9185.043071,571259.1347,0,-
222,37.52648025,-77.45512289,9.77668377,79.51388889,8679.173514,677508.2981,0,-
223,37.52648874,-77.45511368,9.013694296,85.98611111,7414.158818,636590.6813,0,-
224,37.52648146,-77.45513709,9.06907733,30.02437452,2486.069011,77389.53392,0,-
225,37.52649053,-77.45513642,7.900841779,59.82291667,4343.742674,269315.8905,0,-
226,37.52650106,-77.45513498,6.569633735,38.16666667,4611.596249,176638.9582,0,-
227,37.52647307,-77.45515627,9.432693426,127.3541667,11866.58071,1506235.691,0,-
228,37.52646119,-77.45519557,9.481011308,35.90277778,7497.411221,262316.4875,0,-
229,37.52642396,-77.45516516,15.55561021,50.5625,35211.36326,1496324.095,0,-
230,37.52636149,-77.45517055,23.57252963,30,6181.345471,176954.159,0,-
231,37.5263857,-77.45516403,20.63722228,42.75,6793.694113,290430.4233,0,-
232,37.52641929,-77.45525794,12.59068505,5.125,1605.353846,8227.438461,0,-
233,37.52647539,-77.45523591,6.054422285,27.125,18322.93508,515617.3615,0,-
234,37.52650885,-77.45517722,3.914284287,90.76071429,22687.42224,2048104.203,0,-
235,37.5265364,-77.45509767,3.35686276,73.04166667,22918.96803,1673283.438,0,-
236,37.52654779,-77.45508682,2.275293582,22.375,5996.514978,124233.2998,0,-
237,37.52652327,-77.45507861,5.820865959,104.375,2203.042,229491,0,-
238,37.52653089,-77.45508063,4.740104585,63.875,5023.407,316474.6,0,-
239,37.52654228,-77.45508035,3.250889338,27.125,8219.191,259287.415,0,-
240,37.52651191,-77.45511336,5.97558697,81.29166667,17951.05667,1448069.667,0,-
241,37.52656252,-77.4550735,0.850436682,38.75,11928.36495,497105.9543,64,-
242,37.52654724,-77.45505129,3.718381047,65.5,17612.55,1144816,0,-
243,37.52657266,-77.45505016,0.415995771,82.53125,3687.051771,305741.5753,0,-
244,37.5265307,-77.45506457,5.384653277,33.5625,7372.5325,248301.65,0,-
245,37.52653507,-77.45502726,6.24794179,35.26875,51633.25192,1819072.449,0,-
246,37.52647519,-77.45502346,14.27921433,55.16666667,14921.78075,882309.749,0,-
247,37.52648991,-77.45505887,10.97550045,78.54861111,14017.52581,1103108.642,0,-
248,37.52649787,-77.45498113,12.92736329,33,6328.738401,208848.3672,0,-
249,37.52651125,-77.45497112,11.55086621,28.875,10503.1297,306232.2424,0,-
250,37.52654966,-77.45497484,6.350895607,53.625,16022.12,849172.5,0,-
251,37.52657999,-77.45497038,2.529401625,25.0625,5570.436444,138536.3735,0,-
252,37.52661894,-77.45492651,0.90555595,21,737.2270759,16515.48347,0,-
253,37.52638961,-77.45535265,12.84344224,21.5,9406.975577,197947.5784,0,-
254,37.52637068,-77.45539005,13.89362187,26.5,3538.218959,92298.02795,0,-
256,37.5263427,-77.45544442,15.4790522,36.25902746,2349.030473,82957.61598,0,-
257,37.52634829,-77.45544549,14.7011142,38.58333333,752.0187638,28397.68874,0,-
258,37.52632622,-77.45543887,17.86293264,56.30749857,2129.705213,150557.1528,0,-
259,37.52628243,-77.45546775,22.51372249,19.5625,427.0602564,8351.605098,0,-
260,37.52626142,-77.45546545,25.36907986,24.4375,1857.466656,45391.84142,0,-
261,37.52623117,-77.4554081,31.56426547,19.5,9589.712,182204.5,0,-
262,37.52626244,-77.45535897,29.34337453,18.25,3736.924,67264.64,34,-
263,37.52620201,-77.45540385,35.56783826,21.75,43083.01625,937055.6035,0,-
264,37.52626611,-77.45529455,31.34640123,63.82735177,9134.246767,380611.4302,0,-
265,37.52629291,-77.45527045,28.74798848,32.79687453,2288.864353,80297.81199,0,-
266,37.5263691,-77.45548283,10.52095454,37.859375,3350.704573,128329.5463,0,-
267,37.52646694,-77.45542423,0.100452876,-,-,-,0,-
268,37.52652688,-77.45542045,7.845041837,-,-,-,0,-
269,37.5265227,-77.45542695,7.545556325,5,670.16602,3350.83,19,-
270,37.52653288,-77.455432,9.08095136,23.13749951,1641.455597,35754.82749,11,-
271,37.5265208,-77.45544416,7.960023077,-,-,-,0,-
272,37.52650861,-77.45547896,7.698397191,12.75,2035.752,24429.02,0,-
273,37.52651179,-77.45548561,8.3735696,15.13555508,851.2685649,12884.42225,0,-
274,37.52653015,-77.45549166,11.02393429,-,-,-,0,-
275,37.52653593,-77.45548156,11.39610019,66.25,4398.229715,35185.83772,3,-
276,37.52657142,-77.45555387,18.85868331,26.8,34058.79136,817410.9925,13,-
277,37.52655521,-77.4555637,17.10357084,-,-,-,5,Channel feature?
278,37.52659511,-77.45550935,20.2602787,16.125,2154.739862,45918.69632,1,-
279,37.52663019,-77.45545455,22.7636183,22.90625,3076.699178,55758.18825,0,-
280,37.52664073,-77.45546869,24.69651074,26.7979166,3218.91862,86984.68074,0,-
281,37.52664883,-77.45547987,26.19454489,38.87999331,3298.927142,130484.9202,4,-
282,37.52657683,-77.45535282,11.81255457,14,7888.539153,110439.5481,72,-
283,37.52658354,-77.45533975,12.19168209,-,-,-,24,-
284,37.52660779,-77.45529791,13.77048295,29.875,6525.087942,194937.0023,25,-
285,37.52659026,-77.45528685,11.0344387,15.75,6583.207,98748.11,0,-
286,37.52659033,-77.45526727,10.28905568,75,6286.3269,471474.5175,0,-
287,37.52661932,-77.45526515,14.02337321,26.05,7130.944025,186048.0902,0,-
288,37.52663891,-77.4552688,16.74356349,29.5625,5418.069326,142871.789,0,-
289,37.52663567,-77.455253,15.70689024,9.2,8012.632014,114916.7889,0,-
290,37.52663558,-77.45523914,15.16020082,5.125,1070.498,5352.488,0,-
291,37.5266514,-77.45523818,17.20607916,78.94134048,4638.24181,669861.9673,0,-
292,37.5266542,-77.45524854,17.9756382,36.56773778,2097.016265,73405.42529,0,-
293,37.5266366,-77.45530179,17.71270071,26.5,12864.82192,340917.7808,0,-
294,37.52665133,-77.45531415,20.12929048,91.0999974,10983.50806,794083.2505,0,-
