"","cond((Int))","disp((Int))","cond(Depth_Z)","cond(MaxRTemp_Z)","cond(Pct_Shaded_Z)","cond(SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z)","cond(Depth_Z:SurfArea_Z)","cond(Pct_Shaded_Z:SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z:SurfArea_Z)","df","logLik","AICc","delta","weight"
"11",31.6862445964237,"+",NA,1.61567179257666,NA,-0.276230406142604,NA,NA,NA,NA,5,-527.32663991728,1064.95784836248,67.0915564452347,8.68063655492597e-16
"6",31.6327304162437,"+",-1.94284845340703,NA,-1.33007111865721,NA,NA,NA,NA,NA,5,-533.229234844208,1076.76303821634,78.8967462990908,2.37184971419799e-18
"46",31.5525725861061,"+",-1.97083239205273,NA,-1.35527831777595,-0.178667414208851,NA,0.473571731103958,NA,NA,7,-531.85368072842,1078.2817204312,80.4154285139554,1.10996558843307e-18
"22",31.66567737484,"+",-1.89608833882028,NA,-1.26178259213278,NA,0.181227850288836,NA,NA,NA,6,-533.105644657784,1078.63986074414,80.7735688268941,9.27983670274852e-19
"14",31.6330344849374,"+",-1.9379831779281,NA,-1.33218334998328,-0.0319121575959742,NA,NA,NA,NA,6,-533.222470252537,1078.87351193365,81.007220016401,8.2566452024171e-19
"110",31.602617556367,"+",-1.99649839749981,NA,-1.2218885209919,0.0132874122348739,NA,0.558695061538918,0.689662086311571,NA,8,-531.111048960765,1078.96436596277,81.0980740455221,7.88996217373362e-19
"254",31.6553004241041,"+",-2.23077279267659,NA,-1.12277866787749,-0.181590025546741,-0.405916511368137,-0.228954802210584,0.408682049388047,-1.85217941494593,10,-528.981009959734,1079.1078532528,81.2415613355564,7.34373593145299e-19
"62",31.5983927757637,"+",-1.89878083399731,NA,-1.25018340364143,-0.195831911143542,0.284526201312063,0.508382756465254,NA,NA,8,-531.551625152306,1079.84551834585,81.9792264286042,5.07849597124912e-19
"78",31.6731463769701,"+",-1.95035570053214,NA,-1.24660982627853,0.104330379973445,NA,NA,0.429496864820728,NA,7,-532.92224807031,1080.41885511498,82.5525631977347,3.81273494341236e-19
"30",31.6662562440396,"+",-1.89022692448809,NA,-1.26361969881584,-0.0358963658131103,0.182601099584403,NA,NA,NA,7,-533.097082285608,1080.76852354558,82.9022316283312,3.20115777557794e-19
"126",31.6246575199169,"+",-1.95037860081322,NA,-1.17338034588404,-0.0181935568896228,0.171151893373741,0.570257620891411,0.613736485954316,NA,9,-531.009712462213,1080.95206741147,83.0857754942286,2.92045847601644e-19
"94",31.6875316448686,"+",-1.92160697510675,NA,-1.21726665821043,0.0862867112650954,0.104604137439743,NA,0.379727326609167,NA,8,-532.884969405395,1082.51220685203,84.6459149347821,1.33866238600757e-19
"2",31.6197706477542,"+",-1.71045920733584,NA,NA,NA,NA,NA,NA,NA,4,-544.95747423715,1098.11696867632,100.250676759077,5.4719243529761e-23
"10",31.6191702233038,"+",-1.72063064136818,NA,NA,0.0624219845005424,NA,NA,NA,NA,5,-544.935183880664,1100.17493628925,102.308644372003,1.95550124011012e-23
"42",31.5515105896665,"+",-1.74621474039981,NA,NA,-0.0572813813999206,NA,0.396947091881902,NA,NA,6,-544.10414422713,1100.63685988283,102.770567965587,1.55221780872296e-23
"5",31.6762234543527,"+",NA,NA,-1.01122795139775,NA,NA,NA,NA,NA,4,-555.920845831909,1120.04371186584,122.177419948594,9.4799991447732e-28
"13",31.6783797971831,"+",NA,NA,-1.04268908406413,-0.340584738447505,NA,NA,NA,NA,5,-555.343519318771,1120.99160716546,123.125315248217,5.9016771677821e-28
"77",31.6952784991837,"+",NA,NA,-1.00635388502876,-0.284887709486036,NA,NA,0.178291104443973,NA,6,-555.304658199465,1123.0378878275,125.171595910257,2.12144242234093e-28
"1",31.6642181163783,"+",NA,NA,NA,NA,NA,NA,NA,NA,3,-561.285429047119,1128.69146110931,130.825169192068,1.2559530632327e-29
"9",31.6654763490634,"+",NA,NA,NA,-0.235787352894491,NA,NA,NA,NA,4,-561.025171269887,1130.25236274179,132.38607082455,5.75476941264238e-30
